Data Source,World Development Indicators,...3
IDA only,IDX,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",316.792222306896,314.416663574757,315.906886668407,314.584186487417,311.763766349535,312.714871211091,312.318098658561,310.535217489257,311.579960684534,310.284867560916,308.378150992005,310.783451560945,309.47561612621,311.770272517909,311.082873647039,311.694548698878,311.566954050454,312.716772193119,312.266438642596,334.321115011053,332.568575273819,325.81637699194,318.892995160892,317.571106491963,319.924529263059,323.447910946807,326.437653923854,330.79818820313,333.879835623088,327.488344262203,331.184407450542,336.004352937047,338.920393591054,342.937726410795,350.985619830748,355.249078031724,359.615450254179,362.769006610043,363.435752804367,368.641781017928,371.886534178916,369.57791454984,373.290681618171,379.433954539359,"","","","","","","","","","
Isle of Man,IMN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
India,IND,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",272.028514314679,272.277940998195,273.806869758241,278.085775128445,281.230588035896,285.721225173254,287.054955334557,284.396281496675,290.574841788548,290.992728237825,298.620956129864,303.019231461744,305.618804176988,310.915101704414,319.671443104737,323.418414442076,328.187582611314,338.347833224525,346.466134208252,353.43720708922,360.336546794104,365.631654005433,366.603855606666,372.976431210191,386.544137715214,390.494526929774,398.080669603076,399.819829889526,414.895477898357,416.756204632952,414.895773472936,419.62655661617,422.288427293148,437.238153908638,447.013376100043,463.200214132936,482.05764194188,498.544624608199,541.160906278325,557.497786111126,572.98220885027,593.113685158946,598.787504384904,628.482276958207,"","","","","","","","","","
Not classified,INX,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Ireland,IRL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1318.81248674256,1396.4661521031,1412.72967683927,1453.96210541076,1522.19497305123,1511.90491085393,1629.5918720576,1767.42510637565,1881.14935432423,1974.58885308509,2023.63107616874,2245.32344045053,2194.5130645241,2238.47178340543,2268.08988047809,2083.99492091361,2110.191936505,2203.82152214978,2178.72097563906,2534.3386439422,2413.15635255509,2392.95395308427,2356.89425669861,2336.18355836609,2346.17852958154,2438.43839684891,2503.49889397094,2608.80658136296,2592.838648162,2655.24497373832,2820.41016808889,2827.84449817287,2775.21800344534,2813.7104646445,2941.61324158461,2951.91309342806,3122.33560869936,3255.49845121525,3417.56852702187,3544.38761623166,3626.74716057663,3713.51386863164,3661.32224061006,3515.09450344437,3558.0859413964,3503.64286377074,3424.16085207967,3416.03094562283,3293.88463505425,3149.5651406995,3152.00360514061,2865.37473985193,2853.0648654983,2814.9826896226,2741.5748839566,2819.87585169324,"","","","","","","","","
"Iran, Islamic Rep.",IRN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",552.826259593578,526.654594897562,648.238442670468,748.199310395148,787.902797780538,869.982582734451,944.258455715346,885.049735990714,968.843370318329,955.229343549337,1020.68745494091,1132.45582588834,930.391540996449,1042.2927372596,1084.83279180596,1052.47213852882,1035.77843259443,1025.16780820637,1168.36449130317,1187.54471986786,1281.21021893919,1322.26554676006,1418.58442924051,1571.89876470316,1627.04423223085,1552.54873865521,1716.81543820221,1724.54800311947,1928.64759567255,1852.2253513128,1978.78971870443,2029.87091104264,2074.58393522462,2214.54804148854,2403.89312285779,2458.8588297424,2559.41558535563,2709.68182356792,2671.10831363566,2638.59968094896,2657.62496638646,2730.8486091446,2747.8157907624,2908.82501169142,"","","","","","","","","","
Iraq,IRQ,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",398.442558298138,411.054514579061,430.950857221406,452.93779120094,527.491634137207,631.89692589094,632.132748511359,696.514368179981,804.118260959358,715.359308628198,686.627259389845,691.836983030016,809.694853056372,829.915915848052,938.577530552947,990.211734434398,956.406823803985,1126.77916772307,1208.88371256783,1140.04528472051,898.047041937209,1295.40286254542,1607.02638559735,1735.93739006536,1612.60903511308,1563.83163620505,1804.0741424979,1247.2628186565,933.200677070705,1063.01963113743,1151.93004638493,1061.33514241542,946.262160034197,946.452914179981,930.400541435471,871.478794675033,893.792908587386,948.787506252797,1095.98962759121,1208.27018112784,1276.09284340146,1362.75891593846,1398.90970999396,1353.78613205522,"","","","","","","","","","
Iceland,ISL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3082.71156321551,2916.70623195125,3028.29836932086,3279.60226874869,3306.81595699084,3444.55134539176,3639.77092601115,3594.36178937465,3924.13443976813,3553.47668523718,4231.99209540301,4378.31031839222,4403.96964669093,5268.96574461772,5132.19707354246,5071.63534101909,5085.58100238924,5602.87016623159,5710.71008378926,6515.05969388885,6560.99816777565,7178.86936361076,7076.20798768494,7254.2862809471,7531.26996254869,7334.90192829477,7605.56377991611,7857.45488267666,7882.47377272363,7983.03750810751,8907.79198354956,8054.3567225375,7755.39441577893,8249.53644895251,8293.41292604719,8255.76891441219,8847.78518198992,8584.10049865746,9036.65429652578,10038.3119247533,11091.5488700414,10589.466185677,10804.6417156193,10731.3286428273,10524.2507035888,10524.8774997135,12734.0066231706,14746.0313384644,16353.8312739829,16911.07978361,17023.1668244031,18157.598099143,17630.0714650968,18178.139014838,17916.1204205433,17478.8930368937,"","","","","","","","","
Israel,ISR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1870.1091560769,1756.33100381194,2368.43685173886,1732.93337281611,2032.76439942113,1832.14803283329,1786.48768336562,1849.39918699187,2005.81352350766,2017.27694687984,1840.73533872599,1958.31704291739,1793.92204628502,1828.53907189228,1788.99669265296,2102.24587113282,2278.47928587778,2451.74583520937,2488.92341744135,2460.46545064378,2324.53930086886,2580.9693538942,2634.6740163467,2738.39970364882,2796.2515779982,2801.2083626142,2881.12834132968,2885.72651147211,2737.73665306122,2899.42661790428,2973.04270849511,2862.79573820396,2949.30041705906,2821.99691584667,2661.44918543744,2882.39902462537,2898.15336833749,3129.12776379159,2873.87610879555,3042.43402067265,2980.17615699606,3067.74249415334,2870.0987654321,2762.50593376097,2777.87532368349,"","","","","","","","","
Italy,ITA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,794.816044717399,890.688346111265,1007.04834663111,1119.72317177866,1221.73080588714,1316.46285381488,1431.0744873284,1551.51917278665,1698.42756042697,1832.49991828227,2026.21747487312,1949.14872333929,2050.73787711576,2175.58754564221,2212.20669215371,2106.07874846993,2264.05718699758,2204.17980666785,2247.56551683966,2340.04203541587,2318.42730013811,2265.93108965354,2206.54273410646,2203.86418771745,2253.71892374528,2284.81129783538,2311.54807247948,2407.25635314456,2462.79677752614,2566.10892465158,2583.88807748482,2645.67323732766,2627.34000777188,2611.99043754026,2578.46597846012,2799.37576154289,2796.15473585155,2834.4029460732,2912.94736525428,2957.31148591361,3012.19499987601,3020.62119454278,3037.2669647055,3168.52902114021,3169.93264162306,3214.67412061146,3175.79987086883,3149.57655346296,3087.5663310273,2869.92071205584,2930.58852412547,2828.40489139601,2709.29772810307,2579.47254262663,2414.48400158318,2481.75464546017,"","","","","","","","","
Jamaica,JAM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1056.0521250935,1327.58645683086,1487.1230596889,1371.5107594231,1328.26658596589,1188.88304430337,1147.21511095271,1178.49798265831,1205.59324289002,1061.8901055061,1068.19430145486,1038.52326501017,895.623921619164,885.910387969064,752.819279717251,757.844839703736,772.292454372948,782.040236561276,974.111272373785,1170.07013387667,1164.19388146542,1213.40280719148,1204.49762359199,1215.46286794709,1280.7826407285,1336.81064052038,1324.44243141663,1364.75303299639,1391.9846937692,1462.24939854116,1457.55434664569,1350.88306624474,1398.85185063895,1406.66523215672,1381.9820577537,1540.48918758016,1541.90360380279,1291.73752171512,1103.37614792866,972.834581498439,1033.27484138708,998.962282185664,1033.82959362888,1005.31615402815,"","","","","","","","","","
Jordan,JOR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",299.269061389725,314.73472708662,345.706132521678,353.000409964865,396.69309209054,494.50534859719,490.598325311218,583.105641931373,579.191896306297,681.368963909003,815.242804073245,888.542589043675,922.793733671172,970.106844947504,941.917943292273,964.917194379026,976.96934736914,924.133090764003,887.260283010616,903.932678577148,864.331855569226,921.014959203604,866.108021582237,885.122920432867,905.182891928109,898.398905978118,893.477082645946,902.807630254262,880.864271467678,903.235692957697,876.029616137354,900.961455937306,900.987629723496,1057.12759524255,1107.26771170231,1066.31513880247,1055.9143558578,1011.31738433898,1044.27848456814,973.444174578662,944.587098271435,1034.62588671575,966.91537548007,930.378845526069,"","","","","","","","","","
Japan,JPN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,867.20309818057,971.998192546914,1013.25762379784,1147.29273201251,1272.48055271767,1374.52865689317,1491.02770836916,1735.12322910722,1939.41636059439,2214.06141715337,2480.75269576318,2531.08853609847,2667.04674963615,2947.08399643077,2924.24571086218,2734.1232645891,2876.698816227,2899.6750210763,2897.96048314812,3043.52750884459,2949.50393383958,2864.05217531722,2839.86520087779,2822.74098753636,3016.18168266949,3003.17387886161,3020.80912398545,3044.66371478426,3243.60457830932,3352.00593163185,3552.8585820956,3574.00592914072,3644.19475989552,3655.96684264073,3844.28667976801,3934.9595606988,4008.4762359153,4041.16767018095,3955.62762658228,4011.22477908253,4083.83169745276,4008.26803199396,3991.97756679352,3953.18450805681,4078.21054155807,4062.97904878182,4053.88343735824,4012.65424488871,3858.43452050944,3678.51113263099,3893.26660420083,3610.81216900174,3537.3631698125,3567.62935383891,3470.76312894811,3428.55721600428,"","","","","","","","","
Kazakhstan,KAZ,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4281.73783293442,4337.55003298878,4548.89383460382,3798.8560239155,3411.1043266188,3122.62834854783,2762.70342391615,2461.75591219012,2513.91989345457,2324.13314187215,2301.71123951631,2217.50808157657,2537.99870815499,2737.17646999056,3204.38716103731,3186.25126556876,3814.52647326865,4065.05222850607,4252.97821663438,3819.21282543773,4105.33212645388,4531.56667859291,4268.28923849189,4644.56102929843,4303.21500806706,"","","","","","","","","","
Kenya,KEN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",448.880659304716,453.361117346629,449.682089239788,451.239770719042,447.266663020436,454.191877800396,461.209819043402,459.201495956308,459.722498371027,460.378804228297,456.897617788554,449.158456193779,440.789316642137,449.640900148237,452.475522045678,475.717385386113,478.365059999721,473.537193077108,474.104360191142,467.91950831732,461.506926560084,459.354388359501,457.039538024718,448.849698323054,457.13426909379,460.970111735899,453.886673607155,458.032431880067,454.774777247196,456.855962345588,448.777529580947,440.664468512962,436.639416064728,445.018192513537,447.038569486322,452.112193342252,448.218991785989,450.165382644256,462.523408524129,469.237630228945,465.9964258302,459.552856258762,474.190990862184,513.123346414357,"","","","","","","","","","
Kyrgyz Republic,KGZ,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1704.8006529369,1520.60294370013,1102.74738702522,856.879806109533,618.871009376713,522.791151933558,595.7079467963,552.177344426463,578.913106680636,498.405924111575,473.382987351995,435.878543742281,485.288247910515,511.251543629697,497.867411729848,498.538974104235,485.421413915793,560.619863641312,593.943214628909,535.186282282519,503.631111352557,596.823469714211,731.373038862181,683.440970028474,642.654250723541,"","","","","","","","","","
Cambodia,KHM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",283.142271739963,274.679088662722,260.559648264944,284.635574560093,280.167402986418,273.814475873544,270.976682515853,310.725252058674,315.288030742241,255.895193341412,255.663171072211,251.436612638379,251.273789406991,248.24209009029,355.868923099768,365.446392132366,376.551086412548,386.485590413169,393.149190835089,413.528108359337,"","","","","","","","","","
Kiribati,KIR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.0191036002939,"","","","","","","","","","","","","",83.2596138835406,81.6035089508849,99.9830028895088,107.771289728416,"","","","","","","","","","","","","","","","","
St. Kitts and Nevis,KNA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",534.251335575782,"","","","","","","","","","","","","",1640.93706142718,1701.22962292999,1696.40748137173,1777.07360938637,"","","","","","","","","","","","","","","","","
"Korea, Rep.",KOR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",516.110749286312,551.258116376802,632.250968964772,675.274108644272,693.338047900093,758.243819417609,866.020804522271,935.264924017124,1063.67794458371,1082.19259504076,1046.41413344253,1095.50331543592,1168.98065399139,1257.11647560078,1302.10237068585,1477.31277245508,1579.66574639329,1761.0147992992,1857.29832087125,2167.33960770932,2306.64347206365,2534.34102827464,2814.18823120312,2958.40772966166,3210.13203581905,3454.85485115206,3726.15776616316,3377.63507431097,3708.70521294343,4002.67128368549,4033.31896845449,4170.47614661985,4233.4873245883,4332.6677414717,4364.21909084115,4412.52711800821,4564.98783020283,4629.77792060244,4649.76574209758,5045.48774882698,5216.58780873474,5248.51989108414,5231.6754603358,5289.27583193211,5413.34785665856,"","","","","","","","","
